Date,Region,Topic,Severity,Affected_States,Description,Recommended_Action
2025-01-01,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-02,Western,Normal,Low,"Rajasthan,Gujarat",Normal market conditions,Continue standard operations
2025-01-03,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-04,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-01-05,Northern,Normal,Low,"Haryana,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-06,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-07,Southern,Normal,Low,"Andhra Pradesh,Kerala",Normal market conditions,Continue standard operations
2025-01-08,Eastern,Policy_Change,High,"Bihar,West Bengal",New GST rate changes announced,Update tax calculations
2025-01-09,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-10,Eastern,Labor_Strike,High,"West Bengal,Odisha,Bihar,Jharkhand",Transport workers strike in region,Buffer lead times by 15 days
2025-01-11,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-12,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-13,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-14,Eastern,Normal,Low,"Jharkhand,Odisha",Normal market conditions,Continue standard operations
2025-01-15,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-16,Eastern,Normal,Low,"Odisha,West Bengal",Normal market conditions,Continue standard operations
2025-01-17,North-Eastern,Normal,Low,"Nagaland,Assam",Normal market conditions,Continue standard operations
2025-01-18,Western,Normal,Low,"Rajasthan,Gujarat",Normal market conditions,Continue standard operations
2025-01-19,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-20,Southern,Normal,Low,"Kerala,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-01-21,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-22,Eastern,Normal,Low,"Odisha,West Bengal",Normal market conditions,Continue standard operations
2025-01-23,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-01-24,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-25,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-26,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-27,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-28,Southern,Normal,Low,"Kerala,Telangana",Normal market conditions,Continue standard operations
2025-01-29,North-Eastern,Normal,Low,"Manipur,Meghalaya",Normal market conditions,Continue standard operations
2025-01-30,Western,Normal,Low,"Gujarat,Maharashtra",Normal market conditions,Continue standard operations
