Date,Region,Topic,Severity,Affected_States,Description,Recommended_Action
2025-01-01,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-02,Southern,Normal,Low,"Karnataka,Tamil Nadu",Normal market conditions,Continue standard operations
2025-01-03,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-04,Western,Normal,Low,"Gujarat,Rajasthan",Normal market conditions,Continue standard operations
2025-01-05,North-Eastern,Normal,Low,"Assam,Tripura",Normal market conditions,Continue standard operations
2025-01-06,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-07,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-08,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-09,Northern,Normal,Low,"Jammu & Kashmir,Haryana",Normal market conditions,Continue standard operations
2025-01-10,Eastern,Normal,Low,"Odisha,Bihar",Normal market conditions,Continue standard operations
2025-01-11,Southern,Normal,Low,"Tamil Nadu,Karnataka",Normal market conditions,Continue standard operations
2025-01-12,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-13,Western,Normal,Low,"Rajasthan,Gujarat",Normal market conditions,Continue standard operations
2025-01-14,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-15,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-01-16,Northern,Normal,Low,"Haryana,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-17,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-18,Southern,Normal,Low,"Andhra Pradesh,Kerala",Normal market conditions,Continue standard operations
2025-01-19,Eastern,Policy_Change,High,"Bihar,West Bengal",New GST rate changes announced,Update tax calculations
2025-01-20,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-21,Eastern,Labor_Strike,High,"West Bengal,Odisha,Bihar,Jharkhand",Transport workers strike in region,Buffer lead times by 15 days
